wrist_ctrl,hand_ctrl,contact_count,object_height,success
0.7739560485559633,0.4388784397520523,9,0.05,0
0.8585979199113825,0.6973680290593639,8,0.05,0
0.09417734788764953,0.9756223516367559,8,0.05,0
0.761139701990353,0.7860643052769538,8,0.05,0
0.12811363267554587,0.45038593789556713,8,0.05,0
0.37079802423258124,0.9267649888486018,8,0.05,0
0.6438651200806645,0.82276161327083,8,0.05,0
0.44341419882733113,0.2272387217847769,8,0.05,0
0.5545847870158348,0.06381725610417532,8,0.05,0
0.8276311719925821,0.6316643991220648,9,0.05,0
0.7580877400853738,0.35452596812986836,8,0.05,0
0.9706980243949033,0.8931211213221977,8,0.05,0
0.7783834970737619,0.19463870785196757,8,0.05,0
0.4667210037270342,0.04380376578722878,8,0.05,0
0.15428949206754783,0.6830489532424546,9,0.05,0
0.7447621559078171,0.96750973243421,9,0.05,0
0.32582535813815194,0.3704597060348689,8,0.05,0
0.4695558112758079,0.1894713590842857,11,0.05,0
0.12992150533547164,0.47570492622593374,8,0.05,0
0.2269093490508841,0.6698139946825103,8,0.05,0
0.43715191887233074,0.8326781960578374,8,0.05,0
0.7002651020022491,0.31236664138204107,8,0.05,0
0.8322598013952011,0.8047643574968019,8,0.05,0
0.38747837903017446,0.2883281039302441,8,0.05,0
0.6824955039749755,0.1397524836093098,8,0.05,0
0.19990820247510832,0.007362269751005512,7,0.05,0
0.7869243775021384,0.6648508565920321,8,0.05,0
0.7051653786263351,0.7807290310219679,8,0.05,0
0.45891577553833995,0.5687411959528937,8,0.05,0
0.13979699812765745,0.11453007353597344,11,0.05,0
0.6684029617904717,0.4710962061431325,10,0.05,0
0.5652361064811888,0.7649988574160256,11,0.05,0
0.6347183200005908,0.5535794006579958,8,0.05,0
0.5592071607454135,0.3039500980626122,11,0.05,0
0.030817834567939406,0.43671738923236236,8,0.05,0
0.2145846728195292,0.40852864372463615,8,0.05,0
0.8534030732681661,0.23393948586534075,8,0.05,0
0.05830274168906602,0.28138389202199654,8,0.05,0
0.2935937577666836,0.6619165147268951,9,0.05,0
0.5570321523412783,0.7838982091064135,10,0.05,0
